sentiment,sentiment_confidence,entity_completeness,amenities_count,budget_amount,turn_count,message_length,score,tier,label_source,lead_features_id
frustrated,0.9491683840751648,1.0,1,10000000.0,2,76,58.04,warm,heuristic_bootstrap,416
frustrated,0.9386172294616699,0.75,2,,2,64,30.12,cold,heuristic_bootstrap,509
hesitant,0.9433509707450867,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,244
frustrated,0.9564733505249023,0.75,1,,2,67,27.09,cold,heuristic_bootstrap,186
frustrated,0.9404956698417664,0.75,1,,2,68,27.36,cold,heuristic_bootstrap,643
enthusiastic,0.9580990076065063,0.75,1,,2,55,50.23,warm,heuristic_bootstrap,348
hesitant,0.9446288347244263,1.0,2,4500000.0,2,94,74.1,hot,heuristic_bootstrap,336
enthusiastic,0.9629589319229126,1.0,3,5000000.0,2,92,89.0,hot,heuristic_bootstrap,621
enthusiastic,0.9575992822647095,1.0,3,3000000.0,2,82,88.27,hot,heuristic_bootstrap,455
enthusiastic,0.9629043340682983,0.75,2,,2,67,54.09,warm,heuristic_bootstrap,64
hesitant,0.9459949135780334,0.75,2,,2,65,41.92,warm,heuristic_bootstrap,563
hesitant,0.9442151188850403,1.0,3,6500000.0,2,72,75.63,hot,heuristic_bootstrap,116
hesitant,0.9405480623245239,1.0,3,10000000.0,2,86,76.57,hot,heuristic_bootstrap,385
hesitant,0.9392989277839661,0.75,2,,2,61,41.65,warm,heuristic_bootstrap,173
hesitant,0.9418897032737732,0.75,3,,2,83,46.12,warm,heuristic_bootstrap,177
enthusiastic,0.962102472782135,1.0,1,4500000.0,2,73,81.73,hot,heuristic_bootstrap,6
frustrated,0.953665018081665,0.75,2,,2,70,30.33,cold,heuristic_bootstrap,631
hesitant,0.9357810616493225,1.0,3,12000000.0,2,69,75.43,hot,heuristic_bootstrap,29
enthusiastic,0.9629974365234375,1.0,1,3000000.0,2,103,83.74,hot,heuristic_bootstrap,516
hesitant,0.946029782295227,1.0,1,10000000.0,2,80,70.17,hot,heuristic_bootstrap,3
hesitant,0.945552408695221,0.75,3,,2,68,45.12,warm,heuristic_bootstrap,181
frustrated,0.9381511807441711,0.75,2,,2,63,30.06,cold,heuristic_bootstrap,201
enthusiastic,0.9624073505401611,0.75,2,,2,64,53.88,warm,heuristic_bootstrap,150
enthusiastic,0.9622132778167725,1.0,2,8000000.0,2,74,84.79,hot,heuristic_bootstrap,690
frustrated,0.9403495192527771,1.0,1,3000000.0,2,66,57.48,warm,heuristic_bootstrap,273
enthusiastic,0.9623778462409973,0.75,2,,2,69,54.21,warm,heuristic_bootstrap,256
enthusiastic,0.958044707775116,1.0,2,12000000.0,2,79,85.08,hot,heuristic_bootstrap,523
hesitant,0.9385509490966797,0.75,1,,2,60,38.58,cold,heuristic_bootstrap,312
frustrated,0.955202043056488,1.0,2,5000000.0,2,88,61.76,warm,heuristic_bootstrap,468
enthusiastic,0.9622699022293091,0.75,3,,2,79,57.88,warm,heuristic_bootstrap,40
frustrated,0.9494252800941467,0.75,3,,2,57,32.52,cold,heuristic_bootstrap,421
enthusiastic,0.9627568125724792,0.75,3,,2,78,57.82,warm,heuristic_bootstrap,325
enthusiastic,0.9555939435958862,0.75,3,,2,60,56.53,warm,heuristic_bootstrap,399
hesitant,0.9270505905151367,1.0,2,10000000.0,2,89,73.77,hot,heuristic_bootstrap,360
enthusiastic,0.9633775353431702,1.0,1,12000000.0,2,91,82.94,hot,heuristic_bootstrap,641
frustrated,0.9372938275337219,0.75,3,,2,68,33.4,cold,heuristic_bootstrap,101
hesitant,0.9447839260101318,0.75,2,,2,75,42.58,warm,heuristic_bootstrap,178
enthusiastic,0.957358717918396,0.75,1,,2,66,50.95,warm,heuristic_bootstrap,660
frustrated,0.9353635907173157,0.75,3,,2,64,33.16,cold,heuristic_bootstrap,560
hesitant,0.9384472370147705,0.75,2,,2,60,41.58,warm,heuristic_bootstrap,376
enthusiastic,0.9620927572250366,0.75,2,,2,78,54.81,warm,heuristic_bootstrap,584
enthusiastic,0.962701678276062,0.75,3,,2,67,57.08,warm,heuristic_bootstrap,15
frustrated,0.9535651803016663,0.75,1,,2,71,27.4,cold,heuristic_bootstrap,630
frustrated,0.9381328821182251,0.75,2,,2,64,30.12,cold,heuristic_bootstrap,266
enthusiastic,0.9625623822212219,0.75,1,,2,65,50.95,warm,heuristic_bootstrap,539
enthusiastic,0.9587689638137817,1.0,1,5000000.0,2,87,82.62,hot,heuristic_bootstrap,106
enthusiastic,0.9572444558143616,0.75,3,,2,55,56.22,warm,heuristic_bootstrap,351
enthusiastic,0.9637001752853394,0.75,1,,2,62,50.76,warm,heuristic_bootstrap,139
enthusiastic,0.9586533308029175,0.75,1,,2,64,50.83,warm,heuristic_bootstrap,379
enthusiastic,0.9625760912895203,1.0,1,8000000.0,2,81,82.27,hot,heuristic_bootstrap,588
hesitant,0.9340389966964722,1.0,2,10000000.0,2,70,72.5,hot,heuristic_bootstrap,579
enthusiastic,0.9578495621681213,1.0,2,3000000.0,2,62,83.94,hot,heuristic_bootstrap,417
frustrated,0.9370473623275757,0.75,2,,2,64,30.14,cold,heuristic_bootstrap,418
hesitant,0.9467040300369263,0.75,3,,2,70,45.25,warm,heuristic_bootstrap,478
hesitant,0.9426268339157104,0.75,2,,2,77,42.72,warm,heuristic_bootstrap,396
hesitant,0.9403406977653503,1.0,2,10000000.0,2,74,72.77,hot,heuristic_bootstrap,175
frustrated,0.9393336176872253,0.75,2,,2,66,30.24,cold,heuristic_bootstrap,527
hesitant,0.9010480642318726,0.75,1,,2,68,39.12,cold,heuristic_bootstrap,228
hesitant,0.9384068250656128,0.75,2,,2,77,42.72,warm,heuristic_bootstrap,662
frustrated,0.9524813294410706,1.0,1,12000000.0,2,93,59.13,warm,heuristic_bootstrap,25
frustrated,0.953065812587738,0.75,3,,2,80,34.0,cold,heuristic_bootstrap,313
frustrated,0.9494162201881409,0.75,1,,2,77,27.85,cold,heuristic_bootstrap,102
frustrated,0.9512248039245605,1.0,2,10000000.0,2,72,60.74,warm,heuristic_bootstrap,14
frustrated,0.9563282132148743,1.0,1,5000000.0,2,95,59.21,warm,heuristic_bootstrap,454
frustrated,0.9358614087104797,1.0,1,6500000.0,2,71,57.87,warm,heuristic_bootstrap,329
enthusiastic,0.9577103853225708,0.75,1,,2,77,51.69,warm,heuristic_bootstrap,570
enthusiastic,0.9630116820335388,0.75,3,,2,72,57.42,warm,heuristic_bootstrap,311
hesitant,0.9383461475372314,0.75,2,,2,77,42.72,warm,heuristic_bootstrap,281
hesitant,0.9379047751426697,0.75,2,,2,63,41.78,warm,heuristic_bootstrap,595
frustrated,0.9534755349159241,1.0,1,3000000.0,2,65,57.25,warm,heuristic_bootstrap,9
frustrated,0.9546806812286377,0.75,2,,2,64,29.92,cold,heuristic_bootstrap,205
hesitant,0.9457811713218689,0.75,2,,2,62,41.72,warm,heuristic_bootstrap,75
frustrated,0.9534644484519958,0.75,2,,2,65,30.0,cold,heuristic_bootstrap,497
enthusiastic,0.963266134262085,1.0,2,3000000.0,2,84,85.47,hot,heuristic_bootstrap,574
hesitant,0.9417267441749573,0.75,1,,2,75,39.58,cold,heuristic_bootstrap,505
enthusiastic,0.9529567956924438,1.0,1,6500000.0,2,67,81.21,hot,heuristic_bootstrap,159
frustrated,0.9525803327560425,0.75,1,,2,76,27.74,cold,heuristic_bootstrap,11
enthusiastic,0.9542152285575867,0.75,1,,2,66,50.91,warm,heuristic_bootstrap,70
hesitant,0.941087543964386,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,208
frustrated,0.9350042939186096,1.0,2,6500000.0,2,90,62.15,warm,heuristic_bootstrap,43
hesitant,0.9441995620727539,1.0,2,10000000.0,2,79,73.1,hot,heuristic_bootstrap,387
enthusiastic,0.963014543056488,0.75,1,,2,67,51.09,warm,heuristic_bootstrap,87
enthusiastic,0.9625676870346069,1.0,3,4500000.0,2,90,88.87,hot,heuristic_bootstrap,587
hesitant,0.9399726390838623,0.75,3,,2,69,45.18,warm,heuristic_bootstrap,459
